Référence fournisseur;Titre;Nom société;N° bordereau;Nom demandeur;Date bordereau;Refus?;Commentaire demande;N° marché;Site;Sous-système;Référence fiche;;;
800 E 107;PART DIEU - TABLEAU ECLAIRAGE DE SECURITE;ALSTOM;C.DOC/JG/21/3;RIFFARD;04/01/2021;;AVM AUTOMATISMES;M16 0116;PART DIEU;BASSE TENSION;42223;42223;;
800 E 108;PART DIEU - SNCF - TABLEAU ECLAIRAGE DE SECURITE;BOUYGUES E. & S.;C.DOC/JG/20/180;NAIDJA;12/08/2020;;ONDULEUR CHARGEUR 2019;FM 826;PART DIEU;BASSE TENSION;42222;42222;;
800 E 111;JEAN MACE - TABLEAU ECLAIRAGE SECURITE;ALSTOM;C.DOC/JG/21/3;RIFFARD;04/01/2021;O;AVM AUTOMATISMES;M16 0116;JEAN MACE;BASSE TENSION;42274;42274;;
800 E 111;JEAN MACE - TABLEAU ECLAIRAGE SECURITE;BOUYGUES E. & S.;C.DOC/JG/20/187;NAIDJA;07/09/2020;;Onduleurs - chargeurs;FM 826;JEAN MACE;BASSE TENSION;42274;42274;;
800 E 112;BONNEVAY - TABLEAU ECLAIRAGE SECURITE;BOUYGUES E. & S.;C.DOC/JG/21/99;DARNER;28/04/2021;;ONDLUEURS CHARGEURS    (2019);FM 826;BONNEVAY;BASSE TENSION;42263;42263;;
800 E 129;ATELIERS THIOLEY - COFFRET REDRESSEUR 24V;BOUYGUES E. & S.;C.DOC/JG/19/232;NAIDJA;03/12/2019;;ONDULEURS CHARGEURS;FM 826;THIOLEY;BASSE TENSION;34380;34380;;
800 E 131;ATELIERS THIOLEY - COFFRET REDRESSEUR 110V;BOUYGUES E. & S.;C.DOC/JG/19/232;NAIDJA;03/12/2019;;ONDULEURS CHARGEURS;FM 826;THIOLEY;BASSE TENSION;34379;34379;;
800 E 161;PERRACHE -  EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/86;COGNARD;13/04/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20 158;PERRACHE;EMV;42330;42330;;
800 E 162;AMPERE - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/86;COGNARD;13/04/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20 158;AMPERE;EMV;42329;42329;;
800 E 163;BELLECOUR - LIGNE A - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/86;COGNARD;13/04/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20 158;BELLECOUR A & D;EMV;42331;42331;;
800 E 164;CORDELIERS - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/86;COGNARD;13/04/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20 158;CORDELIERS;EMV;42332;42332;;
800 E 165;HOTEL DE VILLE - LIGNE A - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/86;COGNARD;13/04/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20 158;HOTEL DE VILLE A & C;EMV;42315;42315;;
800 E 166;FOCH - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/86;COGNARD;13/04/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20 158;FOCH;EMV;42316;42316;;
800 E 167;MASSENA - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/86;COGNARD;13/04/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20 158;MASSENA;EMV;42317;42317;;
800 E 168;CHARPENNES - LIGNE A - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/86;COGNARD;13/04/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20 158;CHARPENNES A & B;EMV;42318;42318;;
800 E 169;REPUBLIQUE - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/86;COGNARD;13/04/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20 158;REPUBLIQUE;EMV;42319;42319;;
800 E 170;GRATTE CIEL - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/86;COGNARD;13/04/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20 158;GRATTE CIEL;EMV;42320;42320;;
800 E 171;FLACHET - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/86;COGNARD;13/04/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20 158;FLACHET;EMV;42321;42321;;
800 E 172;CUSSET - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/86;COGNARD;13/04/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20 158;CUSSET;EMV;42322;42322;;
800 E 173;BONNEVAY - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/86;COGNARD;13/04/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20 158;BONNEVAY;EMV;42327;42327;;
800 E 174;CHARPENNES - LIGNE B - EQUIPEMENT SONORISATION EQUIPEMENT VIDEO;ROIRET;C.DOC/JG/21/86;COGNARD;13/04/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20 158;CHARPENNES A & B;EMV;42333;42333;;
800 E 175;BROTTEAUX - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/63;COGNARD;12/03/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20/0158;BROTTEAUX;EMV;42328;42328;;
800 E 176;PART DIEU - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/63;COGNARD;12/03/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20/0158;PART DIEU;EMV;42313;42313;;
800 E 178;GUICHARD - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/63;COGNARD;12/03/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20/0158;GUICHARD;EMV;42334;42334;;
800 E 179;SAXE GAMBETTA - LIGNE B - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/63;COGNARD;12/03/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20/0158;SAXE GAMBETTA  B & D;EMV;42337;42337;;
800 E 179;SAXE GAMBETTA - LIGNE B - EQUIPEMENT SONORISATION;SPIE;C.DOC/JG/21/220;RATTON;12/10/2021;O;RENOUVELLEMENT DE L'INTERPHONIE LIGNE B AVM;19S0116;SAXE GAMBETTA  B & D;EMV;42337;42337;;
800 E 180;JEAN MACE - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/63;COGNARD;12/03/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20/0158;JEAN MACE;EMV;42325;42325;;
800 E 181;HOTEL DE VILLE - LIGNE C  - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/86;COGNARD;13/04/2021;;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20 158;HOTEL DE VILLE A & C;EMV;42312;42312;;
800 E 182;CROIX PAQUET - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/71;COGNARD;30/03/2021;;Renouvellement SSI lignes ABC et UAE PCC;20-158;CROIX PAQUET;EMV;42311;42311;;
800 E 183;CROIX-ROUSSE - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/71;COGNARD;30/03/2021;;Renouvellement SSI lignes ABC et UAE PCC;20-158;CROIX ROUSSE;EMV;42335;42335;;
800 E 184;HENON - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/71;COGNARD;30/03/2021;;Renouvellement SSI lignes ABC et UAE PCC;20-158;HENON STATION;EMV;42336;42336;;
800 E 185;CUIRE - EQUIPEMENT SONORISATION;ROIRET;C.DOC/JG/21/71;COGNARD;30/03/2021;;Renouvellement SSI lignes ABC et UAE PCC;20-158;CUIRE;EMV;42326;42326;;
800 E 225;PART DIEU - PCC - ARMOIRE SELECTIVITE CHARGEUR 120V=, LOGIQUE TRACTION A-B-C-D;BOUYGUES E. & S.;C.DOC/JG/20/180;NAIDJA;12/08/2020;;ONDULEUR CHARGEUR 2019;FM 826;PART DIEU;TRACTION;42382;42382;;
800 E 251;ATELIERS POUDRETTE - COFFRET DE COMMANDE PORTE ELECTROPNEUMATIQUE N°1;ROIRET;C.DOC/JG/20/83;COGNARD;06/03/2020;;CONTROLE D'ACCES ATELIERS DE LA POUDRETTE;18/0047;POUDRETTE;ELECTROMECANIQUE;42389;42389;;
800 E 273;CHARPENNES - LOCAL LEE IMPLANTATION ARMOIRES;ALSTOM;C.DOC/JG/17/146;RIFFARD;17/07/2017;;AUTOMATISMES;M16/0116;CHARPENNES A & B;EMV;42463;42463;;
800 E 273;CHARPENNES - LOCAL LEE IMPLANTATION ARMOIRES;SPIE;C.DOC/JG/20/230;RATTON;16/11/2020;O; SYSTEME LUMINEUX ET SONORE DE PREVENTION DE CHUTE A LA VOIE CHARPENNES B;M20 0101;CHARPENNES A & B;EMV;42463;42463;;
800 E 281;PART DIEU - LOCAL LEE =LRC, APC IMPLANTATION DES ARMOIRES;ALSTOM;C.DOC/JG/17/146;RIFFARD;17/07/2017;;AUTOMATISMES;M16/0116;PART DIEU;BASSE TENSION;42638;42638;;
800 E 281;PART DIEU - LOCAL LEE =LRC, APC IMPLANTATION DES ARMOIRES;ENFRASYS;C.DOC/JG/19/228;LE COQUIL;27/11/2019;O;RENOUVELLEMENT DE LULC;M19 0120;PART DIEU;BASSE TENSION;42638;42638;;
800 E 281;PART DIEU - LOCAL LEE =LRC, APC IMPLANTATION DES ARMOIRES;INEO;C.DOC/JG/18/33;VIGNAL;22/01/2018;O;RENOUVELLEMENT DU  SYSTEME DE SONORISATION LIGNES A.B.C.D ET FUN ET DEPOSE DES EQUIPEMENTS CADUQUES;M 170143;PART DIEU;BASSE TENSION;42638;42638;;
800 E 283;BROTTEAUX - LOCAL LEE  IMPLANTATION ARMOIRES;ALSTOM;C.DOC/JG/17/146;RIFFARD;17/07/2017;;AUTOMATISMES;M16/0116;BROTTEAUX;BATIMENT;42460;42460;;
800 E 283;BROTTEAUX - LOCAL LEE  IMPLANTATION ARMOIRES;ENGIE;C.DOC/JG/19/5;FERNANDEZ;11/01/2019;O;RENOUVELLEMENT DES TABLEAUX DE CONTROLES OPTIQUES ET MURS D'IMAGES DU PCC METRO  A LA PART DIEU;M17 0057;BROTTEAUX;BATIMENT;42460;42460;;
800 E 284;SAXE GAMBETTA - LIGNE B - LOCAL LEE IMPLANTATION DES ARMOIRES;ALSTOM;C.DOC/JG/17/146;RIFFARD;17/07/2017;;AUTOMATISMES;M16/0116;SAXE GAMBETTA  B & D;BASSE TENSION;42637;42637;;
800 E 284;SAXE GAMBETTA - LIGNE B - LOCAL LEE IMPLANTATION DES ARMOIRES;ALSTOM;C.DOC/JG/18/177;RIFFARD;18/06/2018;O;AVENIR METRO AUTOMATISMES;M16 0116;SAXE GAMBETTA  B & D;BASSE TENSION;42637;42637;;
800 E 285;JEAN MACE - LOCAL LEE, IMPLANTATION DES ARMOIRES;ALSTOM;C.DOC/JG/17/146;RIFFARD;17/07/2017;;AUTOMATISMES;M16/0116;JEAN MACE;BASSE TENSION;42534;42534;;
800 E 286;GUICHARD - LOCAL LEE, IMPLANTATION DES ARMOIRES;ALSTOM;C.DOC/JG/17/146;RIFFARD;17/07/2017;;AUTOMATISMES;M16/0116;GUICHARD;BASSE TENSION;42532;42532;;
800 E 286;GUICHARD - LOCAL LEE, IMPLANTATION DES ARMOIRES;ENGIE;C.DOC/JG/19/5;FERNANDEZ;11/01/2019;O;RENOUVELLEMENT DES TABLEAUX DE CONTROLES OPTIQUES ET MURS D'IMAGES DU PCC METRO  A LA PART DIEU;M17 0057;GUICHARD;BASSE TENSION;42532;42532;;
800 E 298;BELLECOUR - PORTAILS, COFFRET DE COMMANDE;;C.DOC/JG/20/35;SIMONINI;04/02/2020;;DEPLACEMENT DU  RIDEAU D'ACCES 1.3 DE LA STATION BELLECOUR;BA 854;BELLECOUR A & D;ELECTROMECANIQUE;42505;42505;;
800 E 300;PERRACHE - PORTAILS, COFFRET DE COMMANDE;ROIRET;C.DOC/JG/18/319;COZZI;23/11/2018;;MODIFICATION ET AMENAGEMENT DES ACCES AU  METRO EN STATION PERRACHE;17508;PERRACHE;ELECTROMECANIQUE;42503;#N/A;;
800 E 301;BROTTEAUX - PORTAILS COFFRET DE COMMANDE;BOUYGUES E. & S.;C.DOC/JG/21/27;NAIDJA;04/02/2021;;MODIFICATION DES COMMANDES A DISTANCE DES PORTAILS ACCES METRO LIGNE B;20S0007;BROTTEAUX;BASSE TENSION;42502;42502;;
800 E 308;HENON - PORTAILS - COFFRET DE COMMANDE;ROIRET;C.DOC/JG/20/82;COGNARD;06/03/2020;;TRAVAUX POUR LE RENOUVELLLMENT DU  CONTROLE D'ACCES DES LOCAUX TECHNIQUES DES STATIONS DE METRO  DE LA LIGNE D;15/0101;HENON STATION;BASSE TENSION;42517;42517;;
800 E 314;HENON - COFFRET BT CLIMATISATION LEE;ROIRET;C.DOC/JG/21/266;COGNARD;15/12/2021;;RENOUVELLEMENT SSI LIGNES ABC ET UAE PCC;20-0158;HENON STATION;BASSE TENSION;40743;40743;;
800 E 338;CUIRE - COFFRET BT CLIMATISATION LEE;ROIRET;C.DOC/JG/21/266;COGNARD;15/12/2021;;RENOUVELLEMENT SSI LIGNES ABC ET UAE PCC;20-0158;CUIRE;BASSE TENSION;67008;67008;;
800 E 341;ATELIERS POUDRETTE - PRGR NIVEAU O, IMPLANTATION SONORISATION;ROIRET;C.DOC/LB/22/75;BLATRIX;22/03/2022;;SONORISATION DES ATELIERS POUDRETTE;PPI;POUDRETTE;EMV;70272;70272;;
900 E 024;BELLECOUR - LIGNE D - LOCAL LEE  IMPLANTATION ARMOIRES;ALSTOM;C.DOC/JG/18/121;RIFFARD;09/04/2018;;AVENIR METRO AUTOMATISMES;M16 0116;BELLECOUR A & D;EMV;34924;#N/A;;
900 E 024;BELLECOUR - LIGNE D - LOCAL LEE  IMPLANTATION ARMOIRES;ALSTOM;C.DOC/JG/18/177;RIFFARD;18/06/2018;O;AVENIR METRO AUTOMATISMES;M16 0116;BELLECOUR A & D;EMV;34924;#N/A;;
900 E 025;PARILLY - LOCAL LEE IMPLANTATION ARMOIRES;ALSTOM;C.DOC/JG/19/130;RIFFARD;09/07/2019;;Automatismes;M16-0116;PARILLY;BASSE TENSION;34914;34914;;
900 E 026;GARE DE VENISSIEUX - LOCAL LEE IMPLANTATION ARMOIRES;ALSTOM;C.DOC/JG/18/325;RIFFARD;30/11/2018;;AVENIR METRO AUTOMATISMES;M16 0116;GARE DE VENISSIEUX;BASSE TENSION;34946;34946;;
900 E 027;MERMOZ PINEL - LOCAL LEE IMPLANTATION ARMOIRES;ALSTOM;C.DOC/JG/18/325;RIFFARD;30/11/2018;;AVENIR METRO AUTOMATISMES;M16 0116;MERMOZ PINEL;BASSE TENSION;34945;34945;;
900 E 028;LAENNEC - LOCAL LEE IMPLANTATION ARMOIRES;ALSTOM;C.DOC/JG/18/325;RIFFARD;30/11/2018;;AVENIR METRO AUTOMATISMES;M16 0116;LAENNEC;BASSE TENSION;34921;34921;;
900 E 029;GRANGE BLANCHE - LOCAL LEE IMPLANTATION ARMOIRES;ALSTOM;C.DOC/JG/18/325;RIFFARD;30/11/2018;;AVENIR METRO AUTOMATISMES;M16 0116;GRANGE BLANCHE;BASSE TENSION;34940;34940;;
900 E 030;MONPLAISIR LUMIERE - LOCAL LEE IMPLANTATION ARMOIRES;ALSTOM;C.DOC/JG/18/325;RIFFARD;30/11/2018;;AVENIR METRO AUTOMATISMES;M16 0116;MONPLAISIR LUMIERE;BASSE TENSION;34920;34920;;
900 E 031;SANS SOUCI - LOCAL LEE IMPLANTATION ARMOIRES;ALSTOM;C.DOC/JG/18/325;RIFFARD;30/11/2018;;AVENIR METRO AUTOMATISMES;M16 0116;SANS SOUCI;BASSE TENSION;34935;34935;;
900 E 032;GARIBALDI - LOCAL LEE IMPLANTATION ARMOIRES;ALSTOM;C.DOC/JG/18/325;RIFFARD;30/11/2018;;AVENIR METRO AUTOMATISMES;M16 0116;GARIBALDI;BASSE TENSION;34902;34902;;
900 E 033;SAXE GAMBETTA - LIGNE D - LOCAL LEE IMPLANTATION ARMOIRES PLUS CLIMATISATION;ALSTOM;C.DOC/JG/19/130;RIFFARD;09/07/2019;;Automatismes;M16-0116;SAXE GAMBETTA  B & D;BASSE TENSION;34904;34904;;
900 E 034;GUILLOTIERE - LOCAL LEE IMPLANTATION ARMOIRES;ALSTOM;C.DOC/JG/18/325;RIFFARD;30/11/2018;;AVENIR METRO AUTOMATISMES;M16 0116;GUILLOTIERE;BASSE TENSION;34967;34967;;
900 E 035;SAINT JEAN - LOCAL LEE IMPLANTATION ARMOIRES;ALSTOM;C.DOC/JG/18/121;RIFFARD;09/04/2018;;AVENIR METRO AUTOMATISMES;M16 0116;VIEUX LYON;BASSE TENSION;34913;34913;;
900 E 035;SAINT JEAN - LOCAL LEE IMPLANTATION ARMOIRES;ALSTOM;C.DOC/JG/18/177;RIFFARD;18/06/2018;O;AVENIR METRO AUTOMATISMES;M16 0116;VIEUX LYON;BASSE TENSION;34913;34913;;
900 E 036;SAINT JEAN - FUNICULAIRE - LOCAL LEE IMPLANTATION ARMOIRES NIVEAU SALLE D'ECHANGE;ALSTOM;C.DOC/JG/18/121;RIFFARD;09/04/2018;;AVENIR METRO AUTOMATISMES;M16 0116;VIEUX LYON;BASSE TENSION;34934;34934;;
900 E 038;GORGE DE LOUP - LOCAL LEE IMPLANTATION ARMOIRES;ALSTOM;C.DOC/JG/18/121;RIFFARD;09/04/2018;;AVENIR METRO AUTOMATISMES;M16 0116;GORGE DE LOUP;BASSE TENSION;34933;34933;;
900 E 038;GORGE DE LOUP - LOCAL LEE IMPLANTATION ARMOIRES;ALSTOM;C.DOC/JG/18/177;RIFFARD;18/06/2018;O;AVENIR METRO AUTOMATISMES;M16 0116;GORGE DE LOUP;BASSE TENSION;34933;34933;;
900 E 051;MERMOZ PINEL - COFFRET GRILLE D'ENTREE, COMMANDE ET CONTROLE;BOUYGUES E. & S.;C.DOC/JG/21/27;NAIDJA;04/02/2021;;MODIFICATION DES COMMANDES A DISTANCE DES PORTAILS ACCES METRO LIGNE B;20S0007;MERMOZ PINEL;BASSE TENSION;34968;34968;;
900 E 059;BELLECOUR - COFFRET GRILLE D'ENTREE COMMANDE ET CONTROLE;PORTALP;C.DOC/JG/21/75;HUTHER;02/04/2021;;REMPLACEMENT RIDEAUX METALLIQUES ET MISE A JOUR COFFRET EN AUTOMATIQUE;;BELLECOUR A & D;ELECTROMECANIQUE;34903;34903;;
AA00950730000CBOP000400;ATELIERS THIOLEY - CHAUFFAGE PISTES - ARMOIRE C.A.1;ENGIE;C.DOC/JG/18/201;AUVERGNON;06/07/2018;;AVENIR METRO CFO;M17 0080;THIOLEY;BASSE TENSION;232310;232310;;
AA00AA X0000 000000 E01 MN 000044                 ;SERBER - DESCRIPTION GENERALE DU SYSTEME;KEOLIS;C.DOC/JG/21/39;ROUCHOUSE;22/02/2021;;MAJ interne KEOLIS;;COMMUNS  D;SYS-SECURITE;33366;#N/A;;
AA00AA X0000 0000 SF-010017;COMMUNS METRO - RESEAU 20KV - LIGNES A, B, C, D ET ATELIERS;ENGIE;C.DOC/JG/18/122;LAUGRAND;11/04/2018;;AVENIR METRO CFO;M17 0080;COMMUNS METRO;HAUTE TENSION;33396;33396;;
AA00AA X0000 0000 SF-020149                       ;FOURVIERE - TABLEAU DE DISTRIBUTION BT;SATELEC;C.DOC/LB/22/32;BERTIAUX;01/02/2022;;INSTALLATION DE BALISES SONORES;M20-0112;FOURVIERE;BASSE TENSION;33429;33429;;
AA00AA X0000 0000 SF-020150                       ;MINIMES - TABLEAU DE DISTRIBUTION BT;SATELEC;C.DOC/LB/22/32;BERTIAUX;01/02/2022;;INSTALLATION DE BALISES SONORES;M20-0112;MINIMES;BASSE TENSION;33444;33444;;
AA00AA X0000 0000 SF-020151                       ;SAINT JUST - TABLEAU DE DISTRIBUTION BT;SATELEC;C.DOC/LB/22/32;BERTIAUX;01/02/2022;;INSTALLATION DE BALISES SONORES;M20-0112;SAINT JUST;BASSE TENSION;33443;33443;;
AA00AA X0000 0000 SF-020287                       ;PART DIEU - COFFRETS DE DISTRIBUTION ALIM. EQUIPEMENT PCC CMP;ROIRET;C.DOC/JG/17/188;LEFEVER;12/09/2017;;Arrêt ordonnné;P.Z010592.1.06;PART DIEU;BASSE TENSION;34327;#N/A;;
AA00AA X0000 0000 SF-020324                       ;ATELIERS THIOLEY - DISTRIBUTION BT ARMOIRE A1;ALSTOM;C.DOC/JG/18/147;RIFFARD;18/05/2018;;AVENIR METRO AUTOMATISMES;M16 0116;THIOLEY;BASSE TENSION;33589;#N/A;;
AA00AA X0000 0000 SF-020324                       ;ATELIERS THIOLEY - DISTRIBUTION BT ARMOIRE A1;BG;C.DOC/JG/21/124;CORDIER;26/05/2021;O;Deploiement GTB THIOLEY;FC893;THIOLEY;BASSE TENSION;33589;#N/A;;
AA00AA X0000 0000 SF-020324                       ;ATELIERS THIOLEY - DISTRIBUTION BT ARMOIRE A1;ELEC4;C.DOC/JG/20/160;BOUVIER;03/07/2020;O;AJOUT D'UN DIJONCTEUR  ET D'UN SD CENTRALE PLUIE / VENT;;THIOLEY;BASSE TENSION;33589;#N/A;;
AA00AA X0000 0000 SF-020324                       ;ATELIERS THIOLEY - DISTRIBUTION BT ARMOIRE A1;ENGIE;C.DOC/JG/18/263;AUVERGNON;02/10/2018;O;AVENIR METRO CFO;M17 0080 CFO;THIOLEY;BASSE TENSION;33589;#N/A;;
AA00AA X0000 0000 SF-050303;ATELIERS THIOLEY - REZ DE CHAUSSEE ENSEMBLE - IMPLANTATION ET CHEMINEMENTS;ALSTOM;C.DOC/JG/18/177;RIFFARD;18/06/2018;;AVENIR METRO AUTOMATISMES;M16 0116;THIOLEY;EMV;33722;33722;;
AA00AA X0000 0000 SF-050304;ATELIERS THIOLEY - IMPLANTATION ET CHEMINEMENTS DES EQUIPEMENTS EN MEZZANINE;ALSTOM;C.DOC/JG/18/177;RIFFARD;18/06/2018;;AVENIR METRO AUTOMATISMES;M16 0116;THIOLEY;BASSE TENSION;33599;33599;;
AA00AA X0000 0000 ST-100087                       ;ATELIERS THIOLEY - IMPLANTATION DES ARMOIRES DANS LES LOCAUX:LEE.SIG.LAC.;ALSTOM;C.DOC/JG/18/177;RIFFARD;18/06/2018;;AVENIR METRO AUTOMATISMES;M16 0116;THIOLEY;SIG METRO;1953;1953;;
AA00AA X0000 0000 ST-100087                       ;ATELIERS THIOLEY - IMPLANTATION DES ARMOIRES DANS LES LOCAUX:LEE.SIG.LAC.;BOUYGUES E. & S.;C.DOC/JG/19/187;DARNER;08/10/2019;O;REMPLACEMENT DES ONDULEURS ET CHARGEURS FIN DE VIE METRO B,D SURFACE;FM826;THIOLEY;SIG METRO;1953;1953;;
AA00AA X0000 0000 ST-100091                       ;SAINT JEAN - FUNICULAIRE - RESEAU ARMOIRE INTERFACE ET ECC;ROIRET;C.DOC/JG/20/202;MANNUEL;30/09/2020;;TRAVAUX PREPARATOIRE ULLIGNE D;200 039;VIEUX LYON;EMV;35449;35449;;
AA00AA X0000 0000 ST-141688                       ;"DOSSIER DE CONCEPTION PRELIMINAIRE DE ""SUPERVISER LES RESSOURCES CALCULATEURS""";;;;;;;;THIOLEY;PCC;11708;#N/A;;
AA00AA X0000 0000 ST-151084;ATELIERS POUDRETTE - REFERENTIEL TERMES ULP;ROIRET;C.DOC/JG/18/283;COZZI;23/10/2018;;EQUIPEMENTS STATION DE L'OPERATION AVENIR METRO;170 079;POUDRETTE;TELETRANS;34390;34390;;
AA00AA X0000 0000 ST-901408;MINIMES - FIBRE OPTIQUE RESEAU SLTC  TETES DE CABLES OPTIQUE LEE-AUX;INEO;C.DOC/JG/19/204;GIOE;08/11/2019;O;LIAISON SONO INEO UTS;M17 00026;MINIMES;TELEPHONE;125562;125562;;
AA00AA X0000 0000 ST-901408;MINIMES - FIBRE OPTIQUE RESEAU SLTC  TETES DE CABLES OPTIQUE LEE-AUX;ROIRET;C.DOC/JG/18/313;GENILLON;20/11/2018;;TRAVAUX DE REAMENAGEMENT DU PCC METRO;M1700 37;MINIMES;TELEPHONE;125562;125562;;
AA00AA X0000 0030 ST-080019                       ;PART DIEU - EMV N°1;ROIRET;C.DOC/JG/17/248;PONTAL;21/11/2017;;MARCHE POUR LES COURANTS FAIBLES EQUIPEMENTS STATION DE L'OPERATION AVENIR METRO;170 079;PART DIEU;EMV;37976;37976;;
AA00AA X0000 0030 ST-090010                       ;"PART DIEU - LOCAUX TECHNIQUES ET TUNNEL; EQUIPEMENTS CONTROLE D'ACCES";ROIRET;C.DOC/JG/17/186;PETIT;06/09/2017;;TRAVAUX REAMENAGEMENT DU PCC METRO;16S0170;PART DIEU;EMV;36927;36927;;
AA00AA X0000 0030 ST-192202                       ;PART DIEU - ARMOIRE DE BRASSAGE ULA BRA-B030 CABLAGES ET RACCORDEMENTS;ROIRET;C.DOC/JG/21/41;MARTINEZ;23/02/2021;;EQUIPEMENTS STATION DE L'OPERATION AVM;170 079;PART DIEU;PCC;34392;34392;;
AA00AA X0000 0030 ST-192202                       ;PART DIEU - ARMOIRE DE BRASSAGE ULA BRA-B030 CABLAGES ET RACCORDEMENTS;ROIRET;C.DOC/JG/21/86;COGNARD;13/04/2021;O;RENOUVELLEMENT SSI LIGNES A.B.C ET UAE PCC;20 158;PART DIEU;PCC;34392;34392;;
AA00AA X0000 0030 ST-192203;PART DIEU - PCC - CHASSIS REGROUPEMENT SALLE PCC;ROIRET;C.DOC/JG/18/238;COZZI;24/08/2018;;TRAVAUX DE REAMENAGEMENT DU PCC METRO;M1700-37;PART DIEU;BASSE TENSION;34350;34350;;
AA00AA X0000 0030 ST-192245                       ;PART DIEU - LOCAL LOR - CHASSIS DISTRIBUTION;ALSTOM;C.DOC/JG/19/26;RIFFARD;06/02/2019;;AUTOMATISMES AVENIR METRO;M16 0116;PART DIEU;BASSE TENSION;34288;34288;;
AA00AA X0000 0030 ST-192248                       ;PART DIEU - CHASSIS REGROUPEMENT INFO LIGNE A,B,C CABLAGES ET RACCORDEMENTS CRIL-B030;BOUYGUES E. & S.;C.DOC/JG/21/15;DARNER;18/01/2021;;REMPLACEMENT DES ONDULEURS ET CHARGEURS FIN DE VIE METRO B.D SURFACE;FM 826;PART DIEU;PCC;34395;34395;;
AA00AA X0000 0040 SE-001434;LIAISON B/D - VOIE DE SERVICE F. FAURE - CHEMINEMENTS BT - CC - HT;ROIRET;C.DOC/JG/17/197;COGNARD;21/09/2017;;Marché pour les courants faibles - Equipements station opération de l'opération  Avenir métro;M17-0079;LIAISON B/D;GENIE CIVIL;181591;#N/A;;
AA00AA X0000 0040 SF-000414                       ;LIAISON B/D - VOIE DE SERVICE - TRACTION CIT 1 CONTROLE - COMMANDE VOIE DE SERVICE LIGNE D - B;ENGIE;C.DOC/JG/18/290;LAUGRAND;26/10/2018;;AVENIR METRO CFO;M17 0080;LIAISON B/D;TRACTION;33947;33947;;
AA00AA X0000 0040 SF-000415                       ;LIAISON B/D - VOIE DE SERVICE - TABLEAU CIT 1 EQUIPEMENT 750V CC VOIE DE SERVICE LIGNE B ET D;ENGIE;C.DOC/JG/17/244;LAUGRAND;20/11/2017;;AVENIR METRO CFO;M17 0080;LIAISON B/D;TRACTION;33946;33946;;
